free_text,label_id,split,is_text_null,is_text_empty
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0,train,False,False
Nghe rất vô lí nhưng cực kì thuyết phục,0,train,False,False
Bamtp chạy ngay ddi:)),0,train,False,False
Thế Vinh Yasbaga tối cao,0,train,False,False
phải thầy k ta,0,train,False,False
Mệt quá thầy ạ 😞,0,train,False,False
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2,train,False,False
Anh ba láo nháo là Tú xiên giờ,2,train,False,False
Đầu 2 thứ tóc rồi mà còn bị trẻ trâu Levi lừa.🤣,0,train,False,False
Chúc abe 20-10 vui vẻ,0,train,False,False
B52 If J97,0,train,False,False
Trương Duy ko mvp đội mình thì là mvp của đội bạn :))),0,train,False,False
Võ Thành Nhân huyền thoại :((,0,train,False,False
anh tik nói quá đúng luôn,0,train,False,False
BaVi :)),0,train,False,False
😞,0,train,False,False
éo nha liu liu,1,train,False,False
#NAME?,0,train,False,False
Idol,0,train,False,False
xin ạ,0,train,False,False
Anh Trung Magic,0,train,False,False
"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "", có sở thích là nhai đi nhai lại, mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp, theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc, có thể động dục bất cứ lúc nào, con số của loài này đang được gia tăng đáng kể.",2,train,False,False
Nghi vấn thầy chà trộn TTBL tu,0,train,False,False
Lại Hợp Sâm clm đến v thì /ff,1,train,False,False
Dep trai moi co nhieu dua yeu,0,train,False,False
Nghe giọng nứkg quá Abe :)),1,train,False,False
Anh Trung Giả Kim 😂,0,train,False,False
Làm nhẹ 3-0 cho nó ok,0,train,False,False
ặc :),0,train,False,False
Ai xin inb tôi đi,0,train,False,False
1 ng thì giết 1 mạng . 1 ng thì feed tụt lol,0,train,False,False
Panda Thái đã xem =))),0,train,False,False
Còn bạn này nữa thầy ơi,0,train,False,False
Tại sao phải trả lời thầy,0,train,False,False
reaction thầy ơi,0,train,False,False
Khi đi nhớ đem theo Susan nha thầy :)),0,train,False,False
cái tay cái tay,0,train,False,False
Optimusthree với 99% sức mạnh,0,train,False,False
:3,0,train,False,False
Hahahaha,0,train,False,False
Chú trung đầu L chứ chú tí đầu lân clg 🤣,2,train,False,False
Oh shjt,1,train,False,False
Hiếu Bùi sủa dơ,2,train,False,False
Ok trung bảnh,0,train,False,False
:)),0,train,False,False
Cực kì thuyết p.....,0,train,False,False
reaction thầy ơi,0,train,False,False
tks thầy nha ♥,0,train,False,False
Toang quá thầy ơiiii :))),0,train,False,False
.,0,train,False,False
🤣🤣🤣,0,train,False,False
MV khá chất lượng,0,train,False,False
Thầy duo với levi để Tú bơ vơ,0,train,False,False
Sợ thật ấy :))),0,train,False,False
Chúc mừng năm mới,0,train,False,False
Thầy làm gì cũng được đừng ra MV hát là được nha thầy. Nói chứ dm mãi yêu thầy,0,train,False,False
Tú ko cho anh 3 blue và cái kết :)),0,train,False,False
🙃,0,train,False,False
Abe có thể chiếm đoạt được trái tim của Tiểu Tiểu nhưng riêng blue của Tiểu Tiểu thì Abe tuổi lol chiếm đoạt được :vv,0,train,False,False
e chúc panda của abe iu dấu 20/10 vui vẻ nhé và đừng quên xoá kênh,0,train,False,False
Mọi người xin dành 1 chút thời gian nguyên góp mỗi người 1 like vào ảnh đại diện của tôi được hong :)),0,train,False,False
Có cc nè em :),2,train,False,False
Kinhh,0,train,False,False
Đinh Nguyễn Vươn Anh Tuan,0,train,False,False
Thuyết phục vl,0,train,False,False
Vợ em mấy anh ơi :)) em lớp trưởng nè,0,train,False,False
đặt khô gà ở đâu v thầy ơi,0,train,False,False
nhà thầy đâu tết ghé coi\.,0,train,False,False
Sao thầy kh múa quạt nhỉ =))),0,train,False,False
Ngô Tấn Hưng ông đang nâng trình Thầy Ba hay kéo trình Duke xuống vậy😂😂,0,train,False,False
Ba gà dẫn gái về phong stream :(((,0,train,False,False
😞 vì yêu anh nên em nguyện làm ng tăng động,0,train,False,False
Tối nay em sẽ đi học chớ ko đi chơi nha ABe,0,train,False,False
Nguyễn Hoàng Hoài Thương,0,train,False,False
Hóng phim ra rạp :)),0,train,False,False
đặt khô gà ở đâu v thầy ơi,0,train,False,False
rách háng như chơi,0,train,False,False
Òa là thầy giáo lại vừa đẹp trai lại chu đáo mê quá đi à,0,train,False,False
Mệt quá thầy ạ 😞,0,train,False,False
Hợp lý hơn nè abe :),0,train,False,False
Lưu Bảo Toàn đọc hại não vcl,1,train,False,False
Thầy địt mẹ giả tạo vl =)),2,train,False,False
Giáo án ma phi te của thầy thật bổ ích .,0,train,False,False
Vẫn là abe =))) nhưng ở 1 nền nhạc khác,0,train,False,False
Dễ thương quá bé ba ơi 😌😌😌,0,train,False,False
hard làm cc gì nưax thầy. Cứ đanh Man Phi Te như vậy là ok rồi. Chắc chắn lên vcsA,0,train,False,False
Thầy Giáo Lu vcl thấy giáo lu =))),0,train,False,False
Ncc,1,train,False,False
Gia Cát Lồn =))))),2,train,False,False
Nguyễn Quốc An một giọt là nước suối tinh khiết,0,train,False,False
Công thức phá sản =)),0,train,False,False
Tội anh be🤣,0,train,False,False
Nếu là sela thì mọi chuyện sẽ k dừng lại ở đó ❤️,0,train,False,False
Nguyễn Hoàng Sâm fbi,0,train,False,False
Cô linda của chúng em đâu 😞,0,train,False,False
Lê Nhật Khoa đem qua cmt bên Lộc sting :v,0,train,False,False
Gửi thầy :)),0,train,False,False
So sánh quá khập khểnh hả thầy 😂,0,train,False,False
Hay quá,0,train,False,False
A di đà phật :))),0,train,False,False
"Thành Vinh có page ba gà và những người bạn đó , liên hệ xem",0,train,False,False
Tú cho anh Ba con blue,0,train,False,False
Có giáo án ms tui idol của thầy =)),0,train,False,False
Già mà dơ,1,train,False,False
Trung đa cấp,0,train,False,False
Em sẽ sub cho abe kênh mới yên tâm nha abe :>,0,train,False,False
Dm cái giọng cười Abe nghe khốn nạn vl ạ :)) nhưng mỗi lần em nghe em đều cười theo =)),2,train,False,False
nhan nay` de lam j nhi ?,0,train,False,False
nói QC game lại tự ái,0,train,False,False
Giang hồ hải phòng sau khi xem giang hồ bắc ninh dạy dỗ đàn em và cái kết...,0,train,False,False
Tưởng Xuân Hiển vcl ba chó :vvv,2,train,False,False
Cảm ơn thầy nha,0,train,False,False
xin ạ,0,train,False,False
Giống nhau như 2 giọt nước. Mà mỗi cái là 1 giọt nước mắt với 1 giọt nước 💩 thôi ạ 😂😂,1,train,False,False
😑,0,train,False,False
bác học anh bar ?,0,train,False,False
tết rồi thầy ơi,0,train,False,False
Thầy ơi em để ý thấy tiểu tiểu giống vị tướng này <3,0,train,False,False
máy ảnh đúng rõ nét :v,0,train,False,False
Thầy ba said:,0,train,False,False
Xong,0,train,False,False
haha :9),0,train,False,False
đunga rồi anh ba chíp chíp chíp cũa em,0,train,False,False
