free_text,label_id
fan cứng nè ❤ ️ reaction cute coi mấy hợp_lí = ] ] ],0
bọn mắt híp lò_xo thụt : ) ) ) việt_nam t 10 r bọn t gọi l : ) ) ),2
đậu_văn cường thằng sida,0
côn_đồ cục_súc vô nhân_tính đề nghi vn. nhà_nước vn ban thưởng .,2
lý_thuyết thực_hành 1 câu_chuyện = ) ),0
coronavirus is manmade,0
đố m,0
lúp lúp chó .,1
🥰 🥰 🥰,0
"mấy thằng bắc kì , bọn bâu vô phân_biệt ! : d",2
"ưi , phúc du rap 🤣",0
cắt trẻ trâu bớt thui 😂 😂 😂,0
vô_lí cực_kì thuyết_phục,0
"chán ghê hong pé 2 máu , hâhha",0
t gửi đc bây,0
đấy . j bọn . bọn quyền j chả : v,0
dựa cột độ,2
thuong wa_di,0
dạy bơi cá . bơi đương_nhiên bơi cá . sống dân .,1
bữa xin_lỗi khóc tế om xòm chửi bó_tay hỗn,2
bamtp chạy ddi : ) ),0
đăng ảnh 2 bố y_như_rằng đổi,0
"dàn táo chương_trình táo_quân vi hành mn , phát_sóng 9h tối 23 tết vtv3 : ) )",0
chán chế_độ quản_lý dân_sinh,2
đời vô lắm . . sống tu tâm tích đức oi . . khẩu nghiệp,0
", đồng_đội , đồng_chí , bạn_hữu ảnh .",0
sống chậm mày ?,0
chương_trình quảng_cáo đc,0
nguyễn_hữu_nhân đớp cháu . mắc dạy,2
nhậu đm chúng_mày lũ chó hại dân hại,2
thế_vinh_yasbaga tối_cao,0
mài óc suy_nghĩ ko add ? đồng băng mài đào hồ bnhiu hả thằng ngu ?,2
chuẩn,0
3 vàng_ngọc heo nọc nhà_e,2
thầy k ta,0
cảnh_sát chính_tả comingg nè : ) ),0
xuân_đương nghĩa_là xuân đương,0
chúng_nó cmt đắng = ) ) ) ) ) ) ),0
ý_thức tiền túi t,1
yêu thuở tóc,0
chân mấy hàn quốc :,0
"lương 7,8 củ thui ak con_trai , bố tạm cua hoàng đế sống wa con_trai ak",0
mệt thầy 😞,0
gia_lộc tran_quang j vui cà_khịa : ) ) ) ) ) ),0
hôm_nay đẹp,0
r nè,0
việt_tiến nghèo 🤦,0
xxx video 🔞,1
thầy đéo xoá kênh kêu_gọi học_trò report bay kênh thiệt : ) ),2
láo_nháo tú xiên,2
người_ta lường gạt 1tỷ mấy êm_ru đằng trăm triệu la um xùm hà,0
tú hoa_hồng mùa đông quang đâm mông,0
"mẹ , k cửa_hàng kinh_doanh bình dân , ko phạt mua bình đểu : ) ) )",2
trở_lại . tưởng biến mừng 🙂 thiệt tình ( nội_dung giải_trí . ko anti ghét ),0
chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp cung k bao gio co .,2
lương phát,0
cảm_tình diên like,0
tộc_trưởng hiếu lợn thần trận ! chiến_thắng,0
đấu_khẩu - chim_lợn 👍,1
cai miệng sợ hậu_quả,1
4,0
đầu 2 tóc trẻ trâu levi lừa . 🤣,0
nguoi mien trung nhu e chi ngoi cac bac chui thoi : ) ),0
khắc_thành nguyễn phục máu lồn,2
