free_text,n_labels
#ERROR!,3
- cả 2 cũng chỉ ngu như nhau thoii khỏi so sánh :)),3
. ai khịa thầy là chetme đó nha,3
20-10 vui vẻ con bóng sadec:)),2
20/10 em tăng abe một bó nhan nhé!,2
Abe chơi dơ,2
Abe có thể chiếm đoạt được trái tim của Tiểu Tiểu nhưng riêng blue của Tiểu Tiểu thì Abe tuổi lol chiếm đoạt được :vv,2
Abe mua áo như này là chet con di me sela rồi =)),2
Anh 3 ngu vải ra hahaha,2
Anh Trung bóng lộn sa đéc,2
Anh Trung lòi dái :)),2
Anh Trung weeboo =))),2
Anh ba láo nháo là Tú xiên giờ,2
Anh em yếu sly ib,2
Anh vừa nói cc gì vậy Abe :D??,2
Ba gà,2
Ba roi gay :<,2
Bao giờ nước ngập lên đến háng thì TP HCM sẽ được gọi = Sài Gòn !,2
"Biết bao nhiêu vụ đi bắt người bị quay xong bảo bắt bớ dân lành ? Thì đm bây giờ CA nó chờ đủ hết mọi thủ tục cần thiết nó mới dám bắt chứ không thì đm ""cư dân mạng"" chửi sml ra à ?",2
"Buồn quá,k biết mấy cái tượng nghìn tỷ có bị ngập nc k nữa.",2
Bé Ba vailone:))),2
Bú bóng cao su ha gì cười ghê z abe :)),2
Bú mạnh,2
Bạn Ba còn gạ bạn Thơ vô to lét nữa :))),2
Bảo vệ thì ăn chia rồi. Còn lãnh đạo trường thì đang cố giấu!,2
Bắn chet moe abe h,2
Bị cô lập thì về đây với em nè abe em dẫn abe đi chơi gái nè . Bao ngon,2
Bố láo với giang hồ đất cảng à,2
Bớt gáy lại nha abe,2
Cho liếm hậu m*n cái abe :)),2
Cho ra những tấm ảnh đầy tính ấu dâm,2
Chào cc :))),2
Chào thầy ba girl😌nứng vcl,2
Chán,2
Chịu thầy dkm =)),2
Clgv abe !,2
Clm :))))) Trí Xuân,2
Clm nó dơ như chó rách,2
Con bóng già h mới lộ :v :))),2
Con bóng sa đéc,2
Con bóng sadec =]],2
Con bóng??,2
"Cuốn dell nhặt đc mồm, toàn danh hài đất Việt :))",2
Cái lồn má toàn danh hài thế này :v,2
Cáu vl,2
"Có ai tự nhiên lên phường , rồi đi tự tử trên ấy không ? Giờ thằng nào con nào , muốn tự tự thì cứ việc lên phường cho nó gọn . Đỡ bị mất tài sản , với lại người nhà cũng dễ tìm nhá . chứ đừng có ra cầu rồi nhảy nghe hôn .",2
Cô mina dễ thương hơn ml của thầy 😀,2
Cô my cho ăn chai sting vô đầu nha thầy,2
Cứ như thế này thì duyệt mẹ đi cho nhanh 😀,2
D' Đức d hiểu nhìn cái hình là cừ ỉa,2
Deoooo nhaa thầy 😚😚,2
Ditme mặt thầy cũng thần thái vãi l*n :)),2
Dm cái giọng cười Abe nghe khốn nạn vl ạ :)) nhưng mỗi lần em nghe em đều cười theo =)),2
Duma.nhỏ cà chớn lớn cà khịa @@,2
Dân Việt mình chịu chơi lắm!nợ trả góp có sao đâu...!nợ vay nóng còn chơi ok mà!nợ công cũng ko ngoại lẹ nhá!,2
"Dân không có giàu nhé, chỉ nó nước mạnh thôi.",2
Dơ vlll nhưng t thích,2
Dạng háng bắt Sele buscu chứ gì thầy 😍,2
Dạng háng chứ đâu,2
Dỗi vl . Cay vl :)),2
Em cầm cái này phang vào sự chu đáo của anh Ba =))),2
Fan thầy lắm đấy 3 heo à,2
GAM thua cái củ cặc nhé !!,2
Ghép làm chó nha ae,2
Gia Minh thầy bị camp chứ đánh lủng cc đâu petland quăng mạnh vcl ra ấy :)),2
Gia cát ba là e cứ tưởng tế công phiên bản bóng chứ,2
Gia cát bị đồng bóng à,2
Già mà dơ zạy aba,2
Già mà non,2
Già mà non quá aba,2
Già đầu mà non quá :)))),2
